Company,Campaign_Type,Target_Audience,Duration,Conversion_Rate,Acquisition_Cost,ROI,Location,Language,Clicks,Impressions,Engagement_Score,Customer_Segment,Date
DataTech Solutions,Email,All Ages,30 days,0.08,19134.73,4.06,Boston,Spanish,894,14559,9,Foodies,2022-07-14
TechCorp,Search,Men 25-34,45 days,0.11,5106.73,3.36,Miami,French,468,17527,3,Tech Enthusiasts,2022-07-18
DataTech Solutions,Influencer,Men 18-24,60 days,0.05,8905.8,2.75,Washington,Spanish,447,12277,5,Tech Enthusiasts,2022-07-05
Innovate Industries,Email,Men 25-34,15 days,0.08,19320.75,3.24,Washington,Spanish,1350,6934,3,Outdoor Adventurers,2022-07-15
Alpha Innovations,Influencer,Women 25-34,15 days,0.09,11400.32,2.41,Nueva Orleans,German,926,4236,1,Tech Enthusiasts,2022-07-23
Innovate Industries,Display,All Ages,45 days,0.1,5912.25,6.26,Chicago,German,377,10480,1,Tech Enthusiasts,2022-07-01
Innovate Industries,Influencer,Women 25-34,15 days,0.11,17507.96,5.6,Miami,English,1287,10912,3,Health & Wellness,2022-07-08
NexGen Systems,Search,Men 18-24,60 days,0.1,18770.3,2.97,Boston,French,490,7761,4,Health & Wellness,2022-07-16
Innovate Industries,Search,Women 35-44,60 days,0.15,14229.03,7.03,Chicago,Mandarin,392,15872,4,Health & Wellness,2022-07-18
Innovate Industries,Display,Men 18-24,15 days,0.07,8909.6,5.63,San Francisco,French,1970,10273,2,Tech Enthusiasts,2022-07-15
Innovate Industries,Search,Men 25-34,30 days,0.14,17134.17,4.67,Los Angeles,German,1266,13273,4,Fashionistas,2022-07-24
Innovate Industries,Search,Men 25-34,45 days,0.14,16917.98,3.59,Boston,German,660,9428,4,Health & Wellness,2022-07-20
DataTech Solutions,Search,All Ages,15 days,0.15,5913.16,5.15,Seattle,Spanish,570,14508,2,Foodies,2022-07-10
DataTech Solutions,Social Media,All Ages,30 days,0.14,10420.64,6.2,Los Angeles,Spanish,222,2658,7,Foodies,2022-07-24
Alpha Innovations,Email,All Ages,45 days,0.07,11470.06,4.92,Los Angeles,Mandarin,1298,12727,3,Fashionistas,2022-07-20
TechCorp,Social Media,All Ages,45 days,0.11,11425.65,6.03,Chicago,French,1410,3819,6,Tech Enthusiasts,2022-07-24
NexGen Systems,Display,Men 18-24,45 days,0.14,10143.04,5.77,Boston,Mandarin,1865,5091,10,Foodies,2022-07-25
Alpha Innovations,Email,Men 18-24,15 days,0.11,15993.69,2.49,Washington,Mandarin,809,4163,1,Health & Wellness,2022-07-21
TechCorp,Email,Women 25-34,60 days,0.11,10305.39,6.78,San Francisco,Spanish,1625,11564,8,Health & Wellness,2022-07-08
TechCorp,Social Media,Women 35-44,15 days,0.04,15240.25,6.86,Washington,French,1352,18733,8,Outdoor Adventurers,2022-07-20
DataTech Solutions,Display,Women 25-34,30 days,0.06,7518.12,2.61,Las Vegas,Mandarin,361,16506,8,Foodies,2022-07-30
Alpha Innovations,Email,Men 25-34,45 days,0.07,5855.56,4.52,Seattle,German,1527,18674,1,Fashionistas,2022-07-08
Alpha Innovations,Email,Men 18-24,45 days,0.13,16735.73,4.44,Washington,Spanish,594,9341,10,Fashionistas,2022-07-25
Alpha Innovations,Display,Men 18-24,15 days,0.11,14756.11,7.8,Las Vegas,German,1555,8880,3,Fashionistas,2022-07-13
Innovate Industries,Influencer,Women 25-34,15 days,0.06,13591.2,4.97,Chicago,French,235,4626,2,Outdoor Adventurers,2022-07-22
Innovate Industries,Social Media,Men 25-34,60 days,0.08,16487.95,3.53,Chicago,German,601,18246,1,Outdoor Adventurers,2022-07-04
TechCorp,Search,Women 25-34,15 days,0.08,10322.08,3.73,Los Angeles,German,1507,17278,6,Tech Enthusiasts,2022-07-10
NexGen Systems,Email,Women 35-44,45 days,0.04,17854.07,6.25,New York,French,1497,6162,9,Tech Enthusiasts,2022-07-19
NexGen Systems,Display,Women 25-34,15 days,0.1,7899.24,2.66,Miami,French,376,13870,6,Health & Wellness,2022-07-26
Alpha Innovations,Social Media,Men 18-24,60 days,0.07,15112.38,2.3,Chicago,French,236,7034,3,Foodies,2022-07-30
Alpha Innovations,Social Media,Men 18-24,15 days,0.06,9441.98,5.57,Seattle,German,379,11660,5,Fashionistas,2022-07-29
NexGen Systems,Search,All Ages,45 days,0.09,15288.47,7.79,Washington,German,225,9008,1,Foodies,2022-07-05
NexGen Systems,Search,All Ages,45 days,0.13,15702.15,6.4,Washington,German,1545,12571,3,Foodies,2022-07-20
DataTech Solutions,Search,Women 25-34,45 days,0.09,17923.94,7.93,Seattle,Spanish,1863,5350,3,Foodies,2022-07-01
Innovate Industries,Search,Men 18-24,30 days,0.04,16011.06,5.13,Chicago,French,1886,13565,6,Health & Wellness,2022-07-07
Innovate Industries,Search,Men 18-24,60 days,0.13,16623.65,4.74,Boston,Mandarin,1329,17352,7,Foodies,2022-07-24
NexGen Systems,Search,Women 25-34,60 days,0.09,6403.17,6.21,Seattle,English,707,11309,2,Fashionistas,2022-07-19
